TransactionID,Fecha,Año,Mes,País,Canal,SKU,Producto,Categoría,Comercial,Unidades,PrecioUnitario,CosteUnitario,ImporteVenta,CosteTotal,MargenBruto,MargenPct
2025-0001,2025-01-22,2025,1,España,Ecommerce,US-003,Urban Business,Formal,Anna Keller,94,127.22,71.2,11958.68,6692.8,5265.88,44.03
2025-0002,2025-01-19,2025,1,Alemania,Ecommerce,US-007,Urban Premium,Premium,Laura Martín,38,151.75,88.6,5766.5,3366.8,2399.7,41.61
2025-0003,2025-01-01,2025,1,Italia,Retail Partners,US-003,Urban Business,Formal,Marco Rossi,28,116.13,66.89,3251.64,1872.92,1378.72,42.4
2025-0004,2025-01-16,2025,1,Alemania,Tiendas Propias,US-008,Urban Flex,Casual,Marco Rossi,20,96.73,50.26,1934.6,1005.2,929.4,48.04
2025-0005,2025-01-04,2025,1,Francia,Ecommerce,US-004,Urban Trek,Outdoor,Anna Keller,22,136.66,89.55,3006.52,1970.1,1036.42,34.47
2025-0006,2025-01-05,2025,1,Francia,Retail Partners,US-005,Urban Kids,Infantil,Anna Keller,52,64.39,29.13,3348.28,1514.76,1833.52,54.76
2025-0007,2025-01-27,2025,1,España,Amazon,US-002,Urban Runner,Running,Marco Rossi,54,107.49,54.76,5804.46,2957.04,2847.42,49.06
2025-0008,2025-01-06,2025,1,Alemania,Retail Partners,US-006,Urban Eco,Sostenible,Anna Keller,90,106.87,60.62,9618.3,5455.8,4162.5,43.28
2025-0009,2025-01-15,2025,1,Italia,Tiendas Propias,US-005,Urban Kids,Infantil,Sophie Martin,29,57.65,31.1,1671.85,901.9,769.95,46.05
2025-0010,2025-01-15,2025,1,Alemania,Ecommerce,US-005,Urban Kids,Infantil,Carlos Ruiz,72,56.22,30.73,4047.84,2212.56,1835.28,45.34
2025-0011,2025-01-25,2025,1,Italia,Retail Partners,US-006,Urban Eco,Sostenible,Laura Martín,39,104.13,58.14,4061.07,2267.46,1793.61,44.17
2025-0012,2025-01-02,2025,1,España,Ecommerce,US-002,Urban Runner,Running,Carlos Ruiz,102,97.74,52.15,9969.48,5319.3,4650.18,46.64
2025-0013,2025-01-23,2025,1,España,Amazon,US-002,Urban Runner,Running,Laura Martín,82,100.18,50.47,8214.76,4138.54,4076.22,49.62
2025-0014,2025-01-19,2025,1,Alemania,Tiendas Propias,US-001,Urban Classic,Casual,Laura Martín,38,79.32,44.65,3014.16,1696.7,1317.46,43.71
2025-0015,2025-01-15,2025,1,Italia,Amazon,US-003,Urban Business,Formal,Laura Martín,59,117.74,64.98,6946.66,3833.82,3112.84,44.81
2025-0016,2025-01-17,2025,1,Alemania,Ecommerce,US-003,Urban Business,Formal,Marco Rossi,62,122.85,69.81,7616.7,4328.22,3288.48,43.17
2025-0017,2025-01-24,2025,1,España,Amazon,US-004,Urban Trek,Outdoor,Carlos Ruiz,56,127.13,81.96,7119.28,4589.76,2529.52,35.53
2025-0018,2025-01-27,2025,1,Alemania,Ecommerce,US-007,Urban Premium,Premium,Anna Keller,78,148.19,85.49,11558.82,6668.22,4890.6,42.31
2025-0019,2025-01-20,2025,1,Francia,Ecommerce,US-003,Urban Business,Formal,Marco Rossi,78,119.49,71.98,9320.22,5614.44,3705.78,39.76
2025-0020,2025-01-15,2025,1,Francia,Retail Partners,US-004,Urban Trek,Outdoor,Marco Rossi,108,135.41,81.83,14624.28,8837.64,5786.64,39.57
2025-0021,2025-02-12,2025,2,España,Amazon,US-007,Urban Premium,Premium,Sophie Martin,80,155.31,89.6,12424.8,7168.0,5256.8,42.31
2025-0022,2025-02-21,2025,2,España,Amazon,US-004,Urban Trek,Outdoor,Sophie Martin,66,124.33,81.38,8205.78,5371.08,2834.7,34.55
2025-0023,2025-02-22,2025,2,Italia,Tiendas Propias,US-002,Urban Runner,Running,Anna Keller,23,102.08,49.44,2347.84,1137.12,1210.72,51.57
2025-0024,2025-02-20,2025,2,Alemania,Amazon,US-001,Urban Classic,Casual,Laura Martín,47,75.47,42.16,3547.09,1981.52,1565.57,44.14
2025-0025,2025-02-02,2025,2,España,Amazon,US-008,Urban Flex,Casual,Sophie Martin,75,92.55,47.92,6941.25,3594.0,3347.25,48.22
2025-0026,2025-02-16,2025,2,España,Amazon,US-003,Urban Business,Formal,Anna Keller,95,113.71,65.72,10802.45,6243.4,4559.05,42.2
2025-0027,2025-02-25,2025,2,Francia,Amazon,US-007,Urban Premium,Premium,Sophie Martin,20,145.82,93.85,2916.4,1877.0,1039.4,35.64
2025-0028,2025-02-12,2025,2,Alemania,Ecommerce,US-007,Urban Premium,Premium,Sophie Martin,47,158.21,87.94,7435.87,4133.18,3302.69,44.42
2025-0029,2025-02-03,2025,2,España,Tiendas Propias,US-004,Urban Trek,Outdoor,Carlos Ruiz,113,126.91,91.27,14340.83,10313.51,4027.32,28.08
2025-0030,2025-02-22,2025,2,España,Retail Partners,US-006,Urban Eco,Sostenible,Carlos Ruiz,89,112.45,62.13,10008.05,5529.57,4478.48,44.75
2025-0031,2025-02-21,2025,2,Italia,Ecommerce,US-003,Urban Business,Formal,Anna Keller,49,127.75,67.81,6259.75,3322.69,2937.06,46.92
